"","Var1","Var2","spDist","gDist","fDist","m.GeogDist","EnvDist","Area.mx","Shelf"
"1","AUS","AUS",0,0,0,0,0,0,1
"2","NWG","AUS",0.787164906580016,0.555066079295154,0.252336448598131,0.0215428859566945,0.916438161096276,0.785451850905227,1
"3","EMN","AUS",0.818096135721018,0.62303664921466,0.382352941176471,0.168645809926583,1,0.726710769455916,0
"4","MAU","AUS",0.829292929292929,0.624678663239075,0.359223300970874,0.0711892932429028,0.70087546630238,0.723145925679345,0
"5","SUL","AUS",0.880424300867888,0.708235294117647,0.425925925925926,0.206394206160655,0.628352013220508,0.732289404715405,0
"6","PHI","AUS",0.914285714285714,0.735042735042735,0.47008547008547,0.438572407758483,0.600862721868839,0.741864704954813,0
"7","LSU","AUS",0.8310546875,0.615189873417721,0.377358490566038,0.102569455802771,0.853853759287536,0.723740581608539,0
"8","BOR","AUS",0.915515840779854,0.779270633397313,0.5,0.34567070978734,0.805772922418772,0.77856023184367,0
"9","JAV","AUS",0.898836168307968,0.756646216768916,0.479674796747967,0.265427288440791,0.896512243353712,0.728323657721406,0
"10","SUM","AUS",0.918833727344366,0.775047258979206,0.515873015873016,0.444039146053657,0.949078438874116,0.756379668744699,0
"11","SEA","AUS",0.932679738562092,0.7996632996633,0.527131782945736,0.604815201798889,0.809022013278952,1,0
"12","AUS","NWG",0.787164906580016,0.555066079295154,0.252336448598131,0.0215428859566945,0.916438161096276,0.785451850905227,1
"13","NWG","NWG",0,0,0,0,0,0,1
"14","EMN","NWG",0.814708691499522,0.570621468926554,0.3125,0.0106527055379728,0.10088142014798,0.0785141640446497,0
"15","MAU","NWG",0.740659340659341,0.494152046783626,0.252631578947368,0.0163634189906397,0.280223777834999,0.0749493202680796,0
"16","SUL","NWG",0.852,0.643589743589744,0.362745098039216,0.131511824190449,0.309525618833615,0.0840927993041392,0
"17","PHI","NWG",0.899749373433584,0.697038724373576,0.428571428571429,0.187925808529057,0.538950791810267,0.0936680995435475,0
"18","LSU","NWG",0.816,0.575675675675676,0.343137254901961,0.173025726419533,0.372990312580232,0.0755439761972732,0
"19","BOR","NWG",0.903814262023217,0.747967479674797,0.461538461538462,0.275245718641278,0.141418678680323,0.130363626432405,0
"20","JAV","NWG",0.887568555758684,0.727272727272727,0.440677966101695,0.377321297242818,0.0244946061604338,0.0801270523101404,0
"21","SUM","NWG",0.908433734939759,0.749003984063745,0.479338842975207,0.521526187626241,0.330564655869914,0.108183063333433,0
"22","SEA","NWG",0.927152317880795,0.775618374558304,0.491935483870968,0.606632998942492,0.512661814052949,0.351803394588734,0
"23","AUS","EMN",0.818096135721018,0.62303664921466,0.382352941176471,0.168645809926583,1,0.726710769455916,0
"24","NWG","EMN",0.814708691499522,0.570621468926554,0.3125,0.0106527055379728,0.10088142014798,0.0785141640446497,0
