,1,2,3,4,5,6,7,8,9,10,11
1,0,762.131,705.134,701.675,695.541,719.838,702.252,755.444,706.699,733.922,970.309
2,762.131,0,76.183,72.724,66.59,73.301,73.301,77.748,77.748,341.358,341.358
3,705.134,76.183,0,15.727,9.593,69.496,16.304,47.974,20.751,9.593,284.361
4,701.675,72.724,15.727,0,6.134,17.292,12.845,280.902,17.292,6.134,280.902
5,710.547,81.596,24.599,21.14,0,53.387,21.717,15.006,26.164,15.006,289.774
6,719.838,90.887,33.89,30.431,24.297,0,31.008,24.297,35.455,24.297,299.065
7,702.252,73.301,16.304,12.845,6.711,6.711,0,6.711,17.869,6.711,281.479
8,755.444,126.493,69.496,66.037,59.903,59.903,66.614,0,71.061,59.903,334.671
9,706.699,77.748,20.751,17.292,11.158,11.158,17.869,11.158,0,11.158,285.926
10,733.922,104.971,47.974,44.515,38.381,38.381,45.092,38.381,49.539,0,313.149
11,970.309,341.358,284.361,280.902,274.768,274.768,281.479,274.768,285.926,274.768,0
