from,to,weight
1,2,8.769047619
1,3,1.992857143
1,4,2.917857143
1,5,1.442857143
1,6,1.485714286
1,7,2.178571429
1,8,1.360714286
1,9,1.803571429
1,10,1.317857143
1,11,1.594047619
2,3,2.303968254
2,4,3.840079365
2,5,1.740079365
2,6,1.640079365
2,7,2.221825397
2,8,1.515079365
2,9,1.957936508
2,10,1.472222222
2,11,1.748412698
3,4,2.040079365
3,5,1.765079365
3,6,1.522222222
3,7,1.903968254
3,8,1.397222222
3,9,1.640079365
3,10,1.497222222
3,11,1.297222222
4,5,1.976190476
4,6,1.608333333
4,7,2.065079365
4,8,1.483333333
4,9,1.926190476
4,10,1.583333333
4,11,1.383333333
5,6,2.610714286
5,7,2.500793651
5,8,2.285714286
5,9,2.728571429
5,10,2.585714286
5,11,2.385714286
6,7,2.618650794
6,8,4.196428571
6,9,4.696428571
6,10,4.428571429
6,11,4.871428571
7,8,2.293650794
7,9,3.186507937
7,10,2.700793651
7,11,2.643650794
8,9,5.171428571
8,10,6.028571429
8,11,5.971428571
9,10,6.111904762
9,11,6.054761905
10,11,7.536904762
2,1,8.769047619
3,1,1.992857143
4,1,2.917857143
5,1,1.442857143
6,1,1.485714286
7,1,2.178571429
8,1,1.360714286
9,1,1.803571429
10,1,1.317857143
11,1,1.594047619
3,2,2.303968254
4,2,3.840079365
5,2,1.740079365
6,2,1.640079365
7,2,2.221825397
8,2,1.515079365
9,2,1.957936508
10,2,1.472222222
11,2,1.748412698
4,3,2.040079365
5,3,1.765079365
6,3,1.522222222
7,3,1.903968254
8,3,1.397222222
9,3,1.640079365
10,3,1.497222222
11,3,1.297222222
5,4,1.976190476
6,4,1.608333333
7,4,2.065079365
8,4,1.483333333
9,4,1.926190476
10,4,1.583333333
11,4,1.383333333
6,5,2.610714286
7,5,2.500793651
8,5,2.285714286
9,5,2.728571429
10,5,2.585714286
11,5,2.385714286
7,6,2.618650794
8,6,4.196428571
9,6,4.696428571
10,6,4.428571429
11,6,4.871428571
8,7,2.293650794
9,7,3.186507937
10,7,2.700793651
11,7,2.643650794
9,8,5.171428571
10,8,6.028571429
11,8,5.971428571
10,9,6.111904762
11,9,6.054761905
11,10,7.536904762
