from,to,weight
1,2,60.30555556
1,3,35.87936508
1,4,20.53095238
1,5,8.633730159
1,6,5.71984127
1,7,22.86547619
1,8,5.029761905
1,9,7.308730159
1,10,5.964285714
1,11,7.284920635
2,3,30.3984127
2,4,42.71944444
2,5,12.70674603
2,6,7.141666667
2,7,21.5718254
2,8,5.983730159
2,9,7.113888889
2,10,6.021031746
2,11,5.895634921
3,4,17.83373016
3,5,9.098809524
3,6,5.754761905
3,7,11.57539683
3,8,4.362301587
3,9,5.11031746
3,10,4.082539683
3,11,4.633730159
4,5,19.78968254
4,6,9.086507937
4,7,26.06190476
4,8,9.257142857
4,9,10.56944444
4,10,8.90952381
4,11,7.035714286
5,6,19.65595238
5,7,20.18611111
5,8,17.94087302
5,9,17.7547619
5,10,20.90753968
5,11,16.26944444
6,7,16.03174603
6,8,35.5031746
6,9,23.03095238
6,10,25.46746032
6,11,36.56666667
7,8,17.58333333
7,9,30.02301587
7,10,19.23333333
7,11,18.16904762
8,9,47.45873016
8,10,96.8797619
8,11,97.04166667
9,10,63.52103175
9,11,59.26111111
10,11,117.2777778
2,1,60.30555556
3,1,35.87936508
4,1,20.53095238
5,1,8.633730159
6,1,5.71984127
7,1,22.86547619
8,1,5.029761905
9,1,7.308730159
10,1,5.964285714
11,1,7.284920635
3,2,30.3984127
4,2,42.71944444
5,2,12.70674603
6,2,7.141666667
7,2,21.5718254
8,2,5.983730159
9,2,7.113888889
10,2,6.021031746
11,2,5.895634921
4,3,17.83373016
5,3,9.098809524
6,3,5.754761905
7,3,11.57539683
8,3,4.362301587
9,3,5.11031746
10,3,4.082539683
11,3,4.633730159
5,4,19.78968254
6,4,9.086507937
7,4,26.06190476
8,4,9.257142857
9,4,10.56944444
10,4,8.90952381
11,4,7.035714286
6,5,19.65595238
7,5,20.18611111
8,5,17.94087302
9,5,17.7547619
10,5,20.90753968
11,5,16.26944444
7,6,16.03174603
8,6,35.5031746
9,6,23.03095238
10,6,25.46746032
11,6,36.56666667
8,7,17.58333333
9,7,30.02301587
10,7,19.23333333
11,7,18.16904762
9,8,47.45873016
10,8,96.8797619
11,8,97.04166667
10,9,63.52103175
11,9,59.26111111
11,10,117.2777778
